,dates,titles,tag,descriptions
18,"February 3, 2021",ICE HSI Dallas led investigation results in Denton man receiving 15 year sentence for trafficking a 17-year old,"|Human Smuggling/Trafficking, Child Exploitation","William Adam Jonathan Smith, 31, was found guilty by a federal jury. He was convicted of one count of Conspiracy to Commit Sex Trafficking of a Minor and one count of Sex Trafficking of a Minor."
19,"February 2, 2021",ICE HSI investigation results in the sentencing of Bandidos gang member for transporting undocumented immigrants and obstructing justice,|Human Smuggling/Trafficking,"On Feb. 2, 2021, Benito Lopez III, 53, from Los Ebanos appeared before U.S. District Judge Micaela Alvarez who sentenced him to 82 months in prison to be followed by three years of supervised release."
20,"February 1, 2021","Sinaloa cartel-linked fentanyl and heroin traffickers plead guilty, sentenced in Operation Cookout",|Narcotics,"According to court documents, Ramiro Ramirez-Barreto, 44, from the Mexican State of Morelos, operated a continuing criminal enterprise with ties to Virginia, North Carolina, Texas and California. Ramirez-Barreto was linked to the Sinaloa Cartel in Mexico, as were his drug sources. "
21,"January 31, 2021",Mexican man in ICE custody passes away at Georgia hospital,|Detainee Death Notifications,"Felipe Montes was pronounced dead at 12:31 a.m. (EDT) by medical professionals. Montes was admitted into the hospital from the Stewart Detention Center on Jan. 10, two weeks after his arrival into ICE custody on Dec. 28."
22,"January 29, 2021",ICE HSI Dallas arrests man for trafficking a 14-year old,"|Child Exploitation, Human Smuggling/Trafficking",An investigation by U.S. Immigration and Customs Enforcement (ICE) Homeland Security Investigations (HSI) Dallas and the North Texas Trafficking Task Force led to the arrest of a 33-year-old Dallas man for human trafficking.
23,"January 29, 2021",Ensuring public safety tops HSI’s mission at Super Bowl LV,|Intellectual Property Rights and Commercial Fraud,"Homeland Security Investigations (HSI) will join federal, state, and local law enforcement partners to provide essential public safety efforts in and around the Tampa Bay area for Super Bowl LV. HSI personnel will be on the front lines of the interagency effort to mitigate the threat posed by criminal organizations seeking to exploit and profit from criminal activity through the identification and seizure of counterfeit goods and enhanced efforts to combat human trafficking."
24,"January 29, 2021",Chinese national charged with criminal conspiracy to export US power amplifiers to China following ICE investigation,|National Security,"An indictment was unsealed this week charging Cheng Bo, also known as Joe Cheng, a 45-year-old national of the People’s Republic of China, with participating in a criminal conspiracy from 2012-2015 to violate U.S. export laws by shipping U.S. power amplifiers to China, the result of a probe by U.S. Immigration and Customs Enforcement’s Homeland Security Investigations (HSI) Los Angeles, the FBI and the Department of Commerce."
25,"January 29, 2021","Los Angeles-area man to plead guilty to operating Bitcoin-cash exchange business and money laundering, following ICE investigation",|Financial Crimes,"In a two-count information, Hugo Sergio Mejia, 49, of Ontario, was charged with money laundering and operating an unlicensed money transmitting business. In a plea agreement also filed today, Mejia agreed to plead guilty to these federal felony offenses in in March."
26,"January 28, 2021",Registered sex offender from Southeast Texas sentenced to 17 years in prison for child pornography,|Child Exploitation,"Cameron Michael Pittman, 34, a resident of Orange Grove, Texas, pleaded guilty to receiving child pornography in the Southern District of Texas Sept. 9."
27,"January 27, 2021",ICE announces extension to I-9 compliance flexibility,"|Worksite Enforcement, COVID-19","ICE today announced an extension of the flexibilities in rules related to Form I-9 compliance that was granted earlier this year. Due to the continued precautions related to COVID-19, DHS will extend this policy until March 31, 2021."
28,"January 25, 2021",Arizona sex trafficker sentenced to 10 years in prison,|Human Smuggling/Trafficking,"Louis Broadway-Phillips, 27, pleaded guilty to Illegal Control of an Enterprise, Attempt to Commit Sex Trafficking of a Minor, Sex Trafficking, Tampering with a Witness and Influencing a Witness."
29,"January 25, 2021","HSI, Australian Federal Police identify 245 victims of child exploitation by predator posing as popular YouTube star",|Child Exploitation,An investigation by U.S. Immigration and Customs Enforcement (ICE) Homeland Security Investigations (HSI) and the Australian Federal Police (AFP) resulted in the arrest of a 25-year-old Australian citizen who is now facing a total of 247 charges related to 245 alleged child victims in the United States.
30,"January 21, 2021",Orange County man sentenced to more than 24 years in prison for sexually abusing minors following ICE investigation,|Child Exploitation,"As the result of a probe by ICE's HSI Los Angeles, Daniel Seibert, 29, of Lake Forest, pleaded guilty in March 2020 to a three-count information charging him with production of child pornography, traveling to engage in illicit sex and using a facility of commerce to induce a minor to engage in criminal sexual activity."
31,"January 19, 2021",ICE Minnesota removes fugitive wanted in El Salvador,|Enforcement and Removal,"Jose Wilmer Montano, aka Jose Wilmer Matamoros-Montano, 28, and an illegal alien fugitive, was removed from the United States on a charter flight coordinated by ICE's Air Operations Unit and turned over to law enforcement officials in El Salvador Jan. 15."
32,"January 19, 2021",ICE arrests 2 registered sex offenders who preyed on children in neighboring communities,|Enforcement and Removal,"ERO Los Angeles officers arrested Oscar Daniel Munoz-Valdez, 40, a citizen of Mexico, in Pomona, and Pedro Antonio Hernandez-Aparicio, 35, a citizen of El Salvador, in El Monte, and served them with notices to appear before an immigration judge for immigration violations."
33,"January 19, 2021","Ahead of NFL Conference Championship games – ICE, CBP seize NFL, NBA and MLB counterfeit championship rings",|Intellectual Property Rights and Commercial Fraud,"U.S. Immigration and Customs Enforcement’s (ICE) Homeland Security Investigations (HSI) in Orlando seized 284 counterfeit “sports championship rings” from “Friendly Confines Collectibles,” a sports memorabilia store located in Oviedo, Florida, Jan. 14, 2021. The HSI investigation was supported by U.S. Customs and Border Protection (CBP)."
34,"January 15, 2021",Orange County man chased by police while possessing 75 pounds of cocaine in his car pleads guilty to federal charge following ICE probe,|Narcotics,"Anthony Martinez, 40, of La Habra, pleaded guilty to one count of possession with intent to distribute cocaine. "
35,"January 15, 2021","ICE, Department of Corrections cooperation ensures safe removal of child molester from US",|Enforcement and Removal,"Daniel Alfonso Lemus, 43, was convicted of first-degree child molestation and fugitive charges in 2015 and sentenced to a term of 41 months to life. He was later transferred to the custody of the Washington Department of Corrections to serve his sentence."
36,"January 14, 2021",ICE apprehends ‘Most Wanted’ fugitive in Southern California,|Enforcement and Removal,"Emrah Gocekli, aka Vandoff Shawn Thomas, 33, is a citizen of Turkey who became the subject of a criminal arrest warrant, issued by the U.S. District Court for the Central District of California, following his 2018 violation for escaping from federal immigration custody."
37,"January 14, 2021",Texas woman Indicted for transporting minor for female genital mutilation,|Human Rights Violators,"Zahra Badri, 39, of Houston, who is originally from the United Kingdom, is charged in an indictment with knowingly transporting a minor from the United States in foreign commerce for the purpose of FGM from about July 10, 2016 through Oct. 14, 2016."
38,"January 14, 2021",MS-13’s highest-ranking leaders charged with terrorism offenses in US,|Transnational Gangs,"Earlier today, an indictment was unsealed in Central Islip, New York charging 14 of the world’s highest-ranking MS-13 leaders who are known today as the Ranfla Nacional, which operated as the organization’s Board of Directors, and directed MS-13’s violence and criminal activity around the world for almost two decades."
39,"January 14, 2021",ICE Houston announces immigration enforcement statistics for fiscal year 2020,|Enforcement and Removal,U.S. Immigration and Customs Enforcement’s (ICE) Enforcement and Removal Operations (ERO) announced on Wednesday the fiscal year (FY) 2020 immigration statistics for the Houston Field Office. ERO Houston is responsible for overseeing an area of responsibility (AOR) that includes 54 counties stretching from the East Texas border along the Louisiana state line from Shelby County down to Brooks and Kennedy counties.
40,"January 14, 2021",ICE Dallas announces immigration enforcement statistics for fiscal year 2020,|Enforcement and Removal,U.S. Immigration and Customs Enforcement’s (ICE) Enforcement and Removal Operations (ERO) announced Wednesday the fiscal year (FY) 2020 immigration statistics for the Dallas Field Office. ERO Dallas is responsible for overseeing an area of responsibility (AOR) that includes the state of Oklahoma and 128 counties in North Texas.
41,"January 14, 2021",ICE investigation lands former mayor in prison for extortion,|Professional Responsibility,"Jesse Mendiola Blas, a former mayor of Yona, Guam, was sentenced in U.S. District Court to 37 months in prison for Extortion Under Color of Official Right."
42,"January 13, 2021",L.A.-area man sentenced to 10 years in prison for key role in massive  pyramid investment scheme following ICE probe,|Financial Crimes,"Steve Chen, 63, a.k.a. “Li Chen” and “Boss,” of Bradbury, was sentenced by U.S. District Judge John F. Walter, who found that Chen’s “litany of lies” promoted a scam of “epic proportions.” Chen pleaded guilty in June 2020 to one count of conspiracy to commit wire fraud and one count of tax evasion."
43,"January 13, 2021",ICE removes 2 sexual predators living illegally in Pacific Northwest,|Enforcement and Removal,"Arturo Granados-Aranda, 31, was convicted April 12, 2007, by the Marion County Circuit Court, Oregon, of sexual abuse and sentenced to five years’ probation. Granados-Aranda came to the attention of ICE’s Enforcement and Removal Operations (ERO) officers as a result of his 2007 conviction."
44,"January 13, 2021",ICE removes dangerous criminal alien from Oregon to Mexico,|Enforcement and Removal,"On Nov. 7, 1996, the District Court of Salem, Oregon, convicted Abel Rojas-Hernandez, aka Juan Carlos Gonzalez-Cordova, aka Juan Manuel Perez, 57, for attempted murder and sentenced him to 25 years confinement. Rojas-Hernandez also has previous convictions for theft and probation violations."
45,"January 12, 2021",ICE arrests Salvadoran MS-13 gang member wanted in home country,|Enforcement and Removal,"Eulalio Alvarez-Lizama, 36, is a known or suspected member of the transnational criminal street organization known as Mara Salvatrucha or “MS-13”. Alvarez illegally entered the U.S. on an unknown date and was first encountered by ERO on Feb. 12, 2012, at the Mecklenburg County Sheriff’s Office in Charlotte after his arrest for operating a vehicle without a license."
46,"January 12, 2021","HSI-led National IPR Center, International AntiCounterfeiting Coalition join forces to stop counterfeits goods around the world",|Intellectual Property Rights and Commercial Fraud,"The IPR Center’s partnership with IACC provides a framework to enhance investigative efforts into intellectual property crime through joint events, law enforcement training, community outreach and information sharing."
47,"January 12, 2021","ICE shares $160,000 with southwest Texas Sheriff’s Office",|Financial Crimes,"ICE HSI distributed $164,577.44 in funds forfeited from bulk cash seized to the Maverick County Sheriff’s Department January 12, as part of a federal asset sharing program."
48,"January 11, 2021",Former longtime employee of Orange Unified School District sentenced to 6 years in prison for distributing child pornography following ICE investigation,|Child Exploitation,"Mike Barry Brior, 43, of Riverside, who was an 18-year employee of the school district, where he worked for a time directly with children as a teacher’s assistant, was sentenced by U.S. District Judge George H. Wu."
49,"January 11, 2021",Dangerous California sanctuary policy leaves 3 victims in wake of fatal shooting,|Enforcement and Removal,"Herbert Nixon Flores, a 46-year-old criminal alien with an extensive criminal history, is the prime suspect in the murder of 35-year-old Karen Ruiz in the Pacoima area, Jan. 6. Flores shot and killed himself according to law enforcement officials days later. Flores, a repeat immigration offender, had been sought by U.S. Immigration and Customs Enforcement (ICE) officers for removal, but a detainer issued to the Los Angeles Police Department (LAPD) last Fall was not honored due to California’s dangerous sanctuary policy.
"
50,"January 11, 2021",During National Human Trafficking Awareness Month ICE emphasizes the significance of confronting the global issue,|Human Smuggling/Trafficking,"U.S. Immigration and Customs Enforcement (ICE) Homeland Security Investigations (HSI) joins the nation in honoring National Human Trafficking Awareness Month to bring attention to the international crime and the work of law enforcement to deter human trafficking, bring traffickers to justice and to assist victims. Human trafficking centers on exploitation and is considered a form of modern slavery."
51,"January 11, 2021","Fugitive of 35 years, spouse, charged with federal fraud charges",|Document and Benefit Fraud,"Howard D. Farley, Jr., 72, of Weirsdale and Duc Hanh Thi Vu, 56, of Weirsdale, were indicted for passport fraud. Farley was also charged with aggravated identity theft, Social Security fraud, possession of a firearm and ammunition by a convicted felon and operating as a pilot without a legitimate airman’s certificate."
52,"January 11, 2021",ICE removes unlawfully present Salvadoran national wanted for aggravated homicide,|Enforcement and Removal,"Marlon Ariel Mendez Maldonado, a 28-year-old illegal alien from El Salvador, was flown from Alexandria, Louisiana, to the Monseñor Óscar Arnulfo Romero International Airport in San Salvador, El Salvador, on a charter flight coordinated by ICE’s Air Operations Unit. Upon arrival, he was turned over to officials from El Salvador’s Civilian National Police (PNC)."
53,"January 8, 2021",ICE assists in arrest of alleged child predator,|Child Exploitation,"Lawrence Legault, 60, was taken into custody pursuant to a search warrant by law enforcement after information was received from the National Center for Missing and Exploited Children that a phone number associated with Legault was used in the uploading of illicit child images to a cloud storage account."
54,"January 7, 2021","Houston man admits to hijacking interstate freight shipment, following ICE investigation",|Financial Crimes,Maksims Klopovs admitted he was to be paid for picking up a large load of electronics originally set for delivery to a college in Corpus Christi.
55,"January 6, 2021",ICE Houston arrests 9 criminal aliens wanted for illegally reentering US,|Enforcement and Removal,"From Nov. 1, 2020, through Dec. 31, 2020, ERO Houston arrested nine criminal aliens in the greater Houston area after securing criminal arrest warrants for illegal reentry."
56,"December 30, 2020",ICE arrests 21 across the US during Operation No Safe Haven Plus,|Human Rights Violators,"The ICE National Fugitive Operations Program, in coordination with the ICE Human Rights Violators and War Crimes Center, and the ICE Office of the Principal Legal Advisor, worked with ICE’s Enforcement and Removal Operations (ERO) Atlanta, Baltimore, Boston, Chicago, Los Angeles, Newark, New Orleans, Philadelphia, Phoenix, Seattle, San Francisco and Salt Lake City field offices to arrest these fugitives.

"
57,"December 29, 2020",ICE removes Guatemalan national wanted for attempted homicide,|Enforcement and Removal,"Dalvis Hernandez-Ixcoy, 30, a native of Guatemala, was removed by ICE’s Enforcement and Removal Operations (ERO) via an ICE Air Operations charter flight without incident from Alexandria, Louisiana, to Guatemala City, Guatemala. Once in Guatemala, ERO officers turned him over to law enforcement authorities."
58,"December 29, 2020",ICE removes unlawfully present Salvadoran national from Massachusetts wanted for murder in his country,|Enforcement and Removal,"Marvin Alexander Figueroa-Mazariego, 40, was flown on a charter flight coordinated by ICE Air Operations from Alexandria, Louisiana, to the El Salvador International Airport in San Salvador, El Salvador. Upon arrival, he was turned over to Salvadoran authorities."
59,"December 29, 2020",ICE removes Mexican fugitive wanted in Sonora for possession for military firearms,|Enforcement and Removal,"On Oct. 15, 2019, the Sixth District Court in Nogales, Sonora, Mexico, issued an arrest warrant against Aviles-Yocupicio. The warrant alleges he carried firearms and firearm cartridges designated for the exclusive use of the Mexican military."
60,"December 29, 2020",ICE removes murderer from Washington state to Mexico,|Enforcement and Removal,"On Jan. 9, 1996, Adrian Andrade-Mora, 41, was convicted of murder and assault in the first degree. He was sentenced to 250 months and 93 months confinement, to be served consecutively."
61,"December 29, 2020",ICE removes Mexican man convicted of kidnapping in Oregon,|Enforcement and Removal,"On Oct. 4, 2018, Gerardo Muniz-Vazquez, 28, was convicted in the Umatilla County Circuit Court for kidnapping and assault and sentenced to 34 months confinement."
62,"December 29, 2020",ICE removes child molester living illegally in Washington state,|Enforcement and Removal,"On May 5, 2019, Ricardo Arturo Santiago-Silva, 46, was convicted in Skagit County, Washington, of child molestation and communicating with a minor for immoral purposes. He was sentenced to 31 months confinement and transferred to the Washington Corrections Center in Sheldon."
63,"December 23, 2020",ICE announces extension to I-9 compliance flexibility,"|Worksite Enforcement, COVID-19","ICE today announced an extension of the flexibilities in rules related to Form I-9 compliance that was granted earlier this year. Due to the continued precautions related to COVID-19,  DHS will extend this policy until Jan. 31, 2021."
64,"December 23, 2020",FY 2020: ICE annual report highlights operational successes in year shrouded by COVID-19,|Operational,"ICE announced Wednesday the agency’s fiscal year 2020 annual report numbers, highlighting trends that underscore the administration’s focus on enforcing immigration laws and leading investigations that threaten or exploit the customs and immigration laws of the United States."
65,"December 22, 2020",ICE Atlanta announces latest results of operation targeting aliens who failed to depart US voluntarily,|Enforcement and Removal,"From Monday, Dec. 7, to Tuesday, Dec. 17, ERO Atlanta officers arrested seven individuals who failed to depart after being granted voluntary departure. All seven of those arrested had prior criminal convictions.

"
66,"December 22, 2020",ICE launches billboards in Asheville featuring at-large public safety threats,|Enforcement and Removal,"U.S. Immigration and Customs Enforcement (ICE) launched a billboard campaign today in Asheville, North Carolina, to alert the public of at-large immigration violators who may pose a public safety threat to the community. Several of the individuals were previously arrested or convicted of crimes in the U.S., but were released into the community instead of being transferred into ICE custody pursuant to an immigration detainer."
67,"December 21, 2020","ICE announces the latest results of Operation Broken Promise, targeting aliens who failed to depart US voluntarily",|Enforcement and Removal,"From Monday, Dec. 7, to Tuesday, Dec. 17, ICE Enforcement and Removal (ERO) officers arrested more than 150 individuals, including 117 who failed to depart after being granted voluntary departure. About 71% of those arrested had criminal convictions or pending charges."
68,"December 21, 2020",Colorado task force honored with national achievement award,|Operational,"RAVEN was recognized for its outstanding work in support of the PSN Program, which has brought important results to the Denver Metropolitan Area. Thanks to the work of the task force, 122 violent offenders were prosecuted in 2019, and another 147 violent offenders were prosecuted this past year."
69,"December 18, 2020",Bahamian man in ICE custody passes away in Mississippi,|Detainee Death Notifications,"Anthony Jones, 51, was pronounced dead at 9:59 a.m. (CST) by medical professionals responding to the Adams County Detention Center emergency room, where Jones had sought treatment that morning."
70,"December 18, 2020",ICE investigation led to seizure of 2 fraudulent websites purporting to be biotechnology companies developing treatments for COVID-19 vaccine,"|COVID-19, Cyber Crimes, Intellectual Property Rights and Commercial Fraud","""This operation illustrates the ongoing efforts of the National Intellectual Property Rights Coordination Center, private industry and international law enforcement agencies in keeping our communities safe and free from corruption."""
71,"December 17, 2020","ICE, CBP and LAPD seize counterfeit Viagra pills, footwear, belts, car emblems and headphones worth more than $32 million at the Los Angeles/Long Beach Seaport",|Intellectual Property Rights and Commercial Fraud,"The counterfeit items included more than one million erectile dysfunction pills, footwear, belts, purses and headphones in violation of registered and recorded trademarks. If genuine, the seized merchandise would have had an estimated MSRP of $32,161,194.00.

"
72,"December 17, 2020",15 named in $26 million international trade fraud scheme,|Financial Crimes,"Law enforcement arrested Zheng “Miranda” Zhou, 53, of Missouri City, and Kun “Bruce” Liu, 40, of Sugar Land, Dec. 14. Both made their initial appearances in Houston federal court Dec. 15, at which time the criminal indictment was unsealed.

"
73,"December 17, 2020",ICE removes convicted murderer to Mexico,|Enforcement and Removal,"In August 1998, Arturo Rodriguez-Rodriguez, 47, was convicted of murder in the first degree in the Washington State Superior Court for Yakima County and sentenced to 320 months of confinement.

"
74,"December 16, 2020",ICE removes previously deported criminal alien to Mexico convicted of luring a disabled child,|Enforcement and Removal,"Eduardo Flores-Rodriguez, 33, was removed from the United States via an ICE Air Operations charter flight and transferred to the custody of Mexican authorities."
75,"December 16, 2020",US and the UK sign the Customs Mutual Assistance Agreement,|National Security,"On behalf of the United States and the United Kingdom, officials from CBP and ICE signed a CMAA on Dec. 16 to further enhance bilateral efforts to secure and facilitate lawful trade. The U.S. Ambassador Robert Wood Johnson and The Rt. Hon. Jesse Norman, Financial Secretary to the Treasury, signed the agreement in London."
76,"December 15, 2020",ICE removes child molester convicted in Washington state to Mexico,|Enforcement and Removal,"Horacio Ornelas-Lomeli, 38, was removed from the U.S. via an ICE Air Operations charter flight and transferred to the custody of Mexican authorities.

"
77,"December 15, 2020",ICE publishes monthly report on enforcement actions due to 287(g) cooperative agreements,|287g Immigration and Nationality Act,ICE’s 287(g) reports detail examples of enforcement actions made as a direct result of the cooperative agreements between state and local law enforcement partners and the federal agency.
78,"December 14, 2020","ICE detainer not honored, convicted child murderer released",|Enforcement and Removal,"On Jan. 9, 1998, Morales-Ramirez, now 44, was convicted of second-degree murder, assault on a child causing death, and great bodily injury to a child causing death by the Superior Court of California, County of Los Angeles."
79,"December 14, 2020","ICE warning on fake COVID-19 vaccines, counterfeit PPE, bogus preventive medical treatments",|COVID-19,"Fraudulent schemes may include the sale of counterfeit COVID-19 vaccines and Personal Protective Equipment (PPE), and so-called preventive medical treatments. ICE HSI El Paso seeks to identify people who may be victims of COVID-19 related fraud."
80,"December 14, 2020",ICE Newark and local law enforcement seek escapee from Essex County Correctional Facility,|Enforcement and Removal,"Update: On Saturday, Dec. 12, ICE officers arrested Luis Cordon-Guzman, 31, who escaped from Essex County Jail on Dec. 4 while facing pending removal proceedings."
81,"December 11, 2020",ICE removes convicted murderer to Guatemala,|Enforcement and Removal,"On Dec. 13, 1985, the Portland Police Bureau arrested Luis Lopez Carrasco, 56, for murder and other local charges."
82,"December 11, 2020",2 arrested for human smuggling conspiracy and defrauding US government agencies,|Human Smuggling/Trafficking,"A six-count indictment was unsealed in the Eastern District of New York (EDNY) Thursday charging Dat Tat Ho and Manh Ngoc Nguyen with conspiring to defraud U.S. government agencies and alien smuggling for financial gain, and related crimes. The defendants allegedly smuggled Vietnamese aliens into the United States to work for illegally low wages at hair and nail salons in New York City and on Long Island."
83,"December 10, 2020",Guyanese national convicted in terror plot removed from US,|Enforcement and Removal,"On Jan. 13, 2011, Compton Eversley, aka Abdel Nur, 70, was convicted and sentenced in a Brooklyn federal court to 168 months in prison for providing material support to a conspiracy that planned to attack the John F. Kennedy (JFK) International Airport in Jamaica, New York, by exploding fuel tanks and the fuel pipeline under the airport. Eversley believed the attack would cause extensive damage to the airport and to the New York economy, as well as the loss of numerous lives."
84,"December 10, 2020",ICE HSI investigates Montana man for making and sending child pornography,|Child Exploitation,"David Paul Farrar, 58, pleaded guilty Aug. 4 to sexual exploitation of a child and transportation of child pornography."
85,"December 10, 2020","ICE probe leads to indictment of LA Fashion District wholesaler and 2 associates in schemes to avoid tariffs, launder drug money and avoid taxes",|Financial Crimes,"The schemes are outlined in a 49-page indictment, which was filed late Wednesday and is the latest case resulting from an operation in Sept. 2014 when law enforcement authorities executed dozens of search warrants as part of an investigation into money laundering and other crimes at Fashion District businesses. During one of those searches at a downtown condominium linked to the defendants in this case, authorities seized more than $38.3 million in cash."
86,"December 9, 2020",ICE assists Brazil in the arrests of 10 human smugglers,|Human Smuggling/Trafficking,Operation Tree of Lies and Operation Cai Cai is a joint effort by the Government of Brazil and DHS to combat human smuggling and identity fraud cells that exploit the immigration systems of the U.S. and Brazil by organizing and facilitating the travel of Brazilians posing as family units utilizing legitimate and/or illegitimate travel documents to the U.S.
87,"December 9, 2020","ICE, CBP seize more than 100,000 counterfeit surgical masks intended for hospital workers",|COVID-19,"On Dec. 3, CBP officers at the Ysleta Cargo Facility initially intercepted the shipment of 100,080 3M N95 surgical masks with an MSRP of $600,480. The masks were in-transit at an El Paso bonded warehouse destined to a hospital on the East Coast."
